 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle
173,V1.F5 Select:2.47 s,34,437.618,101.147,437.618,101.147,7.225,5.992,141.285
174,V1.F5 Select:2.47 s,63180,122.396,285.720,122.396,285.720,293.731,273.868,68.179
175,V1.F5 Select:2.47 s,62,921.581,201.532,921.581,201.532,15.472,5.102,18.341
176,V1.F5 Select:2.47 s,2244,792.050,251.385,792.050,251.385,78.767,36.273,14.186
177,V1.F5 Select:2.47 s,69164,637.685,543.350,637.685,543.350,385.343,228.530,15.173
178,V1.F5 Select:2.47 s,977,1035.412,574.426,1035.412,574.426,47.136,26.390,171.409
179,V1.F5 Select:2.47 s,4169,705.671,765.495,705.671,765.495,95.667,55.486,99.091
180,V1.F5 Select:2.47 s,516,564.229,734.655,564.229,734.655,37.097,17.710,30.747
181,V1.F5 Select:2.47 s,38,27.500,811.447,27.500,811.447,7.105,6.810,18.256
182,V1.F5 Select:2.47 s,682,743.403,1018.911,743.403,1018.911,76.658,11.328,177.776
183,V1.F5 Select:2.53 s,9676,407.163,33.814,407.163,33.814,156.298,78.823,10.107
184,V1.F5 Select:2.53 s,37,437.743,101.392,437.743,101.392,7.811,6.031,131.675
185,V1.F5 Select:2.53 s,51,886.363,224.814,886.363,224.814,9.730,6.674,114.657
186,V1.F5 Select:2.53 s,2526,22.535,267.849,22.535,267.849,62.025,51.853,115.521
187,V1.F5 Select:2.53 s,1511,769.946,274.339,769.946,274.339,62.538,30.763,17.559
188,V1.F5 Select:2.53 s,71,3.754,320.514,3.754,320.514,11.079,8.160,126.463
189,V1.F5 Select:2.53 s,53451,445.149,584.521,445.149,584.521,402.043,169.275,38.242
190,V1.F5 Select:2.53 s,792,627.258,436.910,627.258,436.910,48.825,20.653,24.575
191,V1.F5 Select:2.53 s,1470,999.116,576.556,999.116,576.556,66.405,28.186,3.314
192,V1.F5 Select:2.53 s,721,560.671,707.442,560.671,707.442,44.227,20.757,125.422
193,V1.F5 Select:2.53 s,5499,672.857,743.201,672.857,743.201,100.689,69.536,66.150
194,V1.F5 Select:2.53 s,115,17.587,811.761,17.587,811.761,19.177,7.635,177.414
195,V1.F5 Select:2.53 s,21,61.833,982.452,61.833,982.452,5.254,5.090,98.130
196,V1.F5 Select:2.60 s,13189,346.125,35.318,346.125,35.318,226.899,74.010,178.497
197,V1.F5 Select:2.60 s,33,437.561,101.076,437.561,101.076,7.235,5.807,157.563
198,V1.F5 Select:2.60 s,93,852.048,242.586,852.048,242.586,14.480,8.178,178.529
199,V1.F5 Select:2.60 s,1465,750.697,285.318,750.697,285.318,59.401,31.402,2.271
200,V1.F5 Select:2.60 s,45289,291.903,566.903,291.903,566.903,286.433,201.316,159.548
201,V1.F5 Select:2.60 s,425,464.611,500.262,464.611,500.262,24.221,22.342,95.502
202,V1.F5 Select:2.60 s,4651,566.292,587.114,566.292,587.114,115.016,51.487,1.875
203,V1.F5 Select:2.60 s,838,977.300,579.649,977.300,579.649,39.480,27.026,34.271
204,V1.F5 Select:2.60 s,639,540.455,683.919,540.455,683.919,33.965,23.954,75.931
205,V1.F5 Select:2.60 s,4239,634.862,737.227,634.862,737.227,98.272,54.922,68.762
206,V1.F5 Select:2.60 s,108,8.546,812.935,8.546,812.935,18.396,7.475,11.466
207,V1.F5 Select:2.60 s,23,61.717,982.283,61.717,982.283,5.679,5.157,112.909
208,V1.F5 Select:2.67 s,15564,217.247,40.632,217.247,40.632,218.507,90.691,6.712
209,V1.F5 Select:2.67 s,20,226.750,94.000,226.750,94.000,5.241,4.858,52.018
210,V1.F5 Select:2.67 s,28,437.571,101.286,437.571,101.286,6.844,5.209,142.349
211,V1.F5 Select:2.67 s,118,826.110,254.110,826.110,254.110,18.789,7.996,9.960
212,V1.F5 Select:2.67 s,1992,710.280,293.895,710.280,293.895,78.887,32.151,7.783
213,V1.F5 Select:2.67 s,58960,157.914,578.804,157.914,578.804,350.864,213.958,169.070
214,V1.F5 Select:2.67 s,936,963.721,584.388,963.721,584.388,46.754,25.490,174.553
215,V1.F5 Select:2.67 s,5022,431.060,600.977,431.060,600.977,120.766,52.947,3.403
216,V1.F5 Select:2.67 s,61,376.844,579.287,376.844,579.287,9.976,7.785,71.962
217,V1.F5 Select:2.67 s,515,514.686,677.791,514.686,677.791,39.729,16.505,21.525
218,V1.F5 Select:2.67 s,4582,595.398,734.648,595.398,734.648,100.240,58.200,113.337
219,V1.F5 Select:2.67 s,37,3.338,822.095,3.338,822.095,6.990,6.739,176.015
220,V1.F5 Select:2.67 s,25,61.700,982.460,61.700,982.460,6.092,5.225,148.027
221,V1.F5 Select:2.73 s,12090,143.438,39.137,143.438,39.137,169.556,90.787,2.381
222,V1.F5 Select:2.73 s,27,437.537,101.315,437.537,101.315,6.979,4.926,155.874
223,V1.F5 Select:2.73 s,72,801.375,264.569,801.375,264.569,10.962,8.363,115.500
224,V1.F5 Select:2.73 s,1375,688.690,299.753,688.690,299.753,59.930,29.213,13.548
225,V1.F5 Select:2.73 s,38101,66.136,573.784,66.136,573.784,337.606,143.693,101.487
226,V1.F5 Select:2.73 s,5375,271.765,606.716,271.765,606.716,126.596,54.059,11.942
227,V1.F5 Select:2.73 s,1479,944.257,590.207,944.257,590.207,66.607,28.272,4.948
228,V1.F5 Select:2.73 s,573,485.959,672.341,485.959,672.341,38.579,18.911,149.132
229,V1.F5 Select:2.73 s,5559,559.153,738.630,559.153,738.630,97.281,72.758,67.955
230,V1.F5 Select:2.73 s,97,7.655,830.149,7.655,830.149,16.568,7.455,2.055
231,V1.F5 Select:2.73 s,24,415.375,868.792,415.375,868.792,7.382,4.140,34.467
232,V1.F5 Select:2.73 s,30,62.167,982.300,62.167,982.300,6.311,6.053,170.588
233,V1.F5 Select:2.80 s,3805,28.437,44.833,28.437,44.833,87.413,55.423,129.486
234,V1.F5 Select:2.80 s,10469,1192.819,29.001,1192.819,29.001,194.869,68.403,176.277
235,V1.F5 Select:2.80 s,23,226.630,94.283,226.630,94.283,5.884,4.977,59.957
236,V1.F5 Select:2.80 s,42,437.905,101.095,437.905,101.095,8.069,6.627,145.203
237,V1.F5 Select:2.80 s,129,751.384,289.950,751.384,289.950,20.609,7.970,10.765
238,V1.F5 Select:2.80 s,1955,638.900,311.309,638.900,311.309,78.004,31.911,8.098
239,V1.F5 Select:2.80 s,22,2.182,396.318,2.182,396.318,6.297,4.448,47.339
240,V1.F5 Select:2.80 s,2126,15.776,447.556,15.776,447.556,70.628,38.326,98.532
241,V1.F5 Select:2.80 s,1140,1262.399,443.870,1262.399,443.870,40.020,36.269,168.632
242,V1.F5 Select:2.80 s,2154,14.731,531.254,14.731,531.254,77.674,35.308,93.833
243,V1.F5 Select:2.80 s,936,910.156,601.072,910.156,601.072,45.985,25.916,174.214
244,V1.F5 Select:2.80 s,5148,61.247,622.187,61.247,622.187,121.308,54.033,177.226
245,V1.F5 Select:2.80 s,537,452.867,669.716,452.867,669.716,40.006,17.091,9.039
246,V1.F5 Select:2.80 s,4576,502.521,743.946,502.521,743.946,102.013,57.114,118.187
247,V1.F5 Select:2.80 s,37,269.554,888.932,269.554,888.932,7.478,6.300,172.205
248,V1.F5 Select:2.80 s,40,62.050,982.325,62.050,982.325,8.374,6.082,171.951
249,V1.F5 Select:2.87 s,314,832.554,5.850,832.554,5.850,38.246,10.453,2.693
250,V1.F5 Select:2.87 s,12957,1094.306,44.557,1094.306,44.557,165.752,99.530,22.071
251,V1.F5 Select:2.87 s,24,226.917,94.250,226.917,94.250,5.799,5.269,176.942
252,V1.F5 Select:2.87 s,46,438.043,101.022,438.043,101.022,8.333,7.028,140.822
253,V1.F5 Select:2.87 s,1403,620.000,318.716,620.000,318.716,61.365,29.110,13.519
254,V1.F5 Select:2.87 s,80,725.700,306.350,725.700,306.350,10.619,9.593,121.016
255,V1.F5 Select:2.87 s,68,1275.529,416.838,1275.529,416.838,10.969,7.893,0.989
256,V1.F5 Select:2.87 s,106,1277.226,478.028,1277.226,478.028,20.530,6.574,90.444
257,V1.F5 Select:2.87 s,1507,894.342,607.511,894.342,607.511,67.117,28.588,4.497
258,V1.F5 Select:2.87 s,652,436.796,668.500,436.796,668.500,37.928,21.888,173.428
259,V1.F5 Select:2.87 s,5604,477.876,751.165,477.876,751.165,97.749,72.995,67.529
260,V1.F5 Select:2.87 s,21,747.500,774.500,747.500,774.500,5.171,5.171,0.000
261,V1.F5 Select:2.87 s,63,199.183,894.040,199.183,894.040,12.544,6.395,35.526
262,V1.F5 Select:2.87 s,44,62.023,982.114,62.023,982.114,8.736,6.413,171.260
263,V1.F5 Select:2.93 s,18318,850.022,67.893,850.022,67.893,188.246,123.898,14.720
264,V1.F5 Select:2.93 s,562,680.110,39.714,680.110,39.714,52.386,13.659,19.453
265,V1.F5 Select:2.93 s,43,437.826,101.058,437.826,101.058,8.237,6.647,130.081
266,V1.F5 Select:2.93 s,1324,600.451,328.124,600.451,328.124,56.919,29.617,1.357
267,V1.F5 Select:2.93 s,11587,1224.417,411.395,1224.417,411.395,158.409,93.132,112.819
268,V1.F5 Select:2.93 s,96,692.594,330.812,692.594,330.812,14.251,8.577,7.958
269,V1.F5 Select:2.93 s,872,871.327,611.630,871.327,611.630,39.967,27.780,32.909
270,V1.F5 Select:2.93 s,525,428.685,671.715,428.685,671.715,31.167,21.447,172.887
271,V1.F5 Select:2.93 s,4191,452.632,752.782,452.632,752.782,100.835,52.920,67.896
272,V1.F5 Select:2.93 s,22,717.409,786.409,717.409,786.409,5.554,5.043,134.999
273,V1.F5 Select:2.93 s,63,141.817,902.548,141.817,902.548,9.820,8.169,148.015
274,V1.F5 Select:2.93 s,43,62.081,982.058,62.081,982.058,8.750,6.257,167.923
275,V1.F5 Select:3.00 s,24738,795.518,76.369,795.518,76.369,236.693,133.073,1.768
276,V1.F5 Select:3.00 s,842,1134.628,4.646,1134.628,4.646,96.062,11.160,179.370
277,V1.F5 Select:3.00 s,235,1221.632,4.164,1221.632,4.164,30.725,9.738,173.749
278,V1.F5 Select:3.00 s,559,622.924,107.081,622.924,107.081,38.334,18.567,16.709
279,V1.F5 Select:3.00 s,41,437.768,100.890,437.768,100.890,7.884,6.621,141.124
280,V1.F5 Select:3.00 s,2120,1250.338,294.537,1250.338,294.537,62.702,43.049,4.689
281,V1.F5 Select:3.00 s,1892,561.222,341.590,561.222,341.590,76.052,31.675,10.973
282,V1.F5 Select:3.00 s,20467,1115.768,419.865,1115.768,419.865,240.708,108.262,12.556
283,V1.F5 Select:3.00 s,1836,1267.456,399.564,1267.456,399.564,80.674,28.977,79.890
284,V1.F5 Select:3.00 s,109,667.528,346.610,667.528,346.610,19.674,7.054,13.571
285,V1.F5 Select:3.00 s,914,854.368,621.962,854.368,621.962,44.414,26.202,174.342
286,V1.F5 Select:3.00 s,532,415.438,669.656,415.438,669.656,39.741,17.045,6.244
287,V1.F5 Select:3.00 s,4524,425.368,761.101,425.368,761.101,102.038,56.451,119.345
288,V1.F5 Select:3.00 s,20,685.800,801.700,685.800,801.700,6.164,4.131,59.024
